county,month,ndvi_mean,state,week,year
Wahkiakum,1.0,0.0830135146626238,Washington,1.0,2023
Jefferson,1.0,0.0760097850174392,Washington,1.0,2023
Okanogan,1.0,0.0021179420646747,Washington,1.0,2023
Ferry,1.0,0.0221653613043681,Washington,1.0,2023
Lincoln,1.0,-0.0105465966172925,Washington,1.0,2023
Garfield,1.0,0.0770938269243774,Washington,1.0,2023
Pacific,1.0,0.0856580575847712,Washington,1.0,2023
Klickitat,1.0,0.074622855878715,Washington,1.0,2023
San Juan,1.0,0.0206744938325935,Washington,1.0,2023
Grays Harbor,1.0,0.0815258536058945,Washington,1.0,2023
Whatcom,1.0,0.0549623308226293,Washington,1.0,2023
Kittitas,1.0,0.0258872381552179,Washington,1.0,2023
Benton,1.0,0.0530723088442241,Washington,1.0,2023
Franklin,1.0,0.0609238855913057,Washington,1.0,2023
Asotin,1.0,0.0551380913535785,Washington,1.0,2023
Clallam,1.0,0.0823712129198601,Washington,1.0,2023
Columbia,1.0,0.0627548325958812,Washington,1.0,2023
Walla Walla,1.0,0.0509798463418385,Washington,1.0,2023
Chelan,1.0,0.0140349868675992,Washington,1.0,2023
Douglas,1.0,-0.0311063354038451,Washington,1.0,2023
Yakima,1.0,0.0386989305502861,Washington,1.0,2023
San Francisco,1.0,-0.0393968442592487,California,1.0,2023
Santa Cruz,1.0,0.239005249497659,Arizona,2.0,2023
Pima,1.0,0.190783778573806,Arizona,2.0,2023
Greenlee,1.0,0.228125913952076,Arizona,2.0,2023
La Paz,1.0,0.122766120297349,Arizona,2.0,2023
Apache,1.0,0.152466541954575,Arizona,2.0,2023
Coconino,1.0,0.110680962737648,Arizona,2.0,2023
Gila,1.0,0.322682852441225,Arizona,2.0,2023
Pinal,1.0,0.227957499756688,Arizona,2.0,2023
Maricopa,1.0,0.181970281886563,Arizona,2.0,2023
Yavapai,1.0,0.189405426078124,Arizona,2.0,2023
Graham,1.0,0.220656952561147,Arizona,2.0,2023
Navajo,1.0,0.148667170301092,Arizona,2.0,2023
Cochise,1.0,0.188689986607391,Arizona,2.0,2023
Yuma,1.0,0.112400601791911,Arizona,2.0,2023
Mohave,1.0,0.110580549310988,Arizona,2.0,2023
Napa,1.0,0.0732491482779429,California,2.0,2023
Marin,1.0,0.0478154690857197,California,2.0,2023
Contra Costa,1.0,0.0523348526871119,California,2.0,2023
San Mateo,1.0,0.0260735257121417,California,2.0,2023
Alameda,1.0,0.0619415023262284,California,2.0,2023
